original_order,original_code,korean_label,analysis_name,analysis_label
1,SQ1,성별,gender,성별
2,SQ2,생년,SQ2,
3,V15,나이,V15,
4,SQ2_1,연령,age_group,연령대
5,SQ3,소속기관 유형_전체,org_type,소속기관 유형
6,SQ3_1,소속기관 유형_공공연구기관,SQ3_1,
7,SQ3_2,소속기관 유형_민간기업,SQ3_2,
8,SQ3_2_4_etc코딩,소속기관 유형_기타 오픈,SQ3_2_4_etc코딩,
9,SQ4,기관 소재지,SQ4,
10,SQ5,직무,SQ5,
11,QT1,직무 구분,job_type,직무구분
12,SQ6,연구분야_연구개발 관련 직무,SQ6,
13,SQ7,담당역할_연구개발 관련 직무,SQ7,
14,SQ8_1,종사분야_연구지원 관련 직무,SQ8_1,
15,SQ8_1_T,종사분야_연구지원 관련 직무_기타 오픈,SQ8_1_T,
16,SQ8_2,종사분야_연구개발 관련 직무,SQ8_2,
17,SQ9,연구개발 담당분야_연구개발 관련 직무,SQ9,
18,Q6_1,개인특성(경력 지향성)_전문가 지향성_아이디어 창출 및 기술발전 기여,Q6_1,
19,Q6_2,개인특성(경력 지향성)_전문가 지향성_분야 전문가로부터의 인정,Q6_2,
20,Q6_3,개인특성(경력 지향성)_전문가 지향성_개인 발표 능력,Q6_3,
21,Q6_4,개인특성(경력 지향성)_전문가 지향성_개인 역량 인정,Q6_4,
22,Q6_5,개인특성(경력 지향성)_관리자 지향성_상위 직급 승진,Q6_5,
23,Q6_6,개인특성(경력 지향성)_관리자 지향성_프로젝트 관리 능력 인정,Q6_6,
24,Q6_7,개인특성(경력 지향성)_관리자 지향성_프로젝트 관리 능력 발휘,Q6_7,
25,Q7_1,개인특성(긍정심리자본)_자기효능감_장기적인 문제 해결 능력,Q7_1,
26,Q7_2,개인특성(긍정심리자본)_자기효능감_담당분야에 대한 설명 능력,Q7_2,
27,Q7_3,개인특성(긍정심리자본)_자기효능감_업무분야에 대한 목표 설정 능력,Q7_3,
28,Q7_4,개인특성(긍정심리자본)_희망_업무분야에 대한 수행목표 달성 능력,Q7_4,
29,Q7_5,개인특성(긍정심리자본)_희망_업무분야 목표 달성 방법에 대한 도출 능력,Q7_5,
30,Q7_6,개인특성(긍정심리자본)_희망_개인의 목표 달성에 대한 능력,Q7_6,
31,Q7_7,개인특성(긍정심리자본)_낙관주의_업무분야 문제 상황 시 긍정적 인지 능력,Q7_7,
32,Q7_8,개인특성(긍정심리자본)_낙관주의_업무분야 전망에 대한 긍정적 인지 능력,Q7_8,
33,Q7_9,개인특성(긍정심리자본)_낙관주의_업무분야 어려움 시 긍정적 인지 능력,Q7_9,
34,Q7_10,개인특성(긍정심리자본)_회복탄력성_업무분야 스트레스 시 회복 능력,Q7_10,
35,Q7_11,개인특성(긍정심리자본)_회복탄력성_업무분야 어려움 시 문제 해결 능력,Q7_11,
36,Q7_12,개인특성(긍정심리자본)_회복탄력성_업무분야 어려움 시 극복 능력,Q7_12,
37,Q8_1,개인특성(심리적 임파워먼트)_과업의미성_연구의 개인적 중요도,Q8_1,
38,Q8_2,개인특성(심리적 임파워먼트)_과업의미성_연구활동의 개인적인 의미 수준,Q8_2,
39,Q8_3,개인특성(심리적 임파워먼트)_과업의미성_할당된 업의무 개인적인 의미 수준,Q8_3,
40,Q8_4,개인특성(심리적 임파워먼트)_역량_업무 수행 능력에 대한 자신감,Q8_4,
41,Q8_5,개인특성(심리적 임파워먼트)_역량_역할 수행 역량에 대한 자기 확신,Q8_5,
42,Q8_6,개인특성(심리적 임파워먼트)_역량_업무 수행 역량 보유,Q8_6,
43,Q8_7,개인특성(심리적 임파워먼트)_자기결정성_업무 수행 방식 결정에 대한 자율성,Q8_7,
44,Q8_8,"개인특성(심리적 임파워먼트)_자기결정성_업무 수행 방식 선택, 관리 가능성",Q8_8,
45,Q8_9,개인특성(심리적 임파워먼트)_자기결정성_업무 수행 과정에서의 독립성 및 재량 보유,Q8_9,
46,Q8_10,개인특성(심리적 임파워먼트)_영향력_팀 내부 개인 영향력,Q8_10,
47,Q8_11,개인특성(심리적 임파워먼트)_영향력_팀 내부 개인 통제력,Q8_11,
48,Q8_12,개인특성(심리적 임파워먼트)_영향력_팀 내부 개인 중요 영향력,Q8_12,
49,Q9_1,개인특성(경력에 대한 인식 및 태도)_프로티언 경력 태도_자기주도적 경력관리_경력개발 기회 획득에 대한 적극성,Q9_1,
50,Q9_2,개인특성(경력에 대한 인식 및 태도)_프로티언 경력 태도_자기주도적 경력관리_경력 관련 성공 및 실패에 대한 책임감,Q9_2,
51,Q9_3,개인특성(경력에 대한 인식 및 태도)_프로티언 경력 태도_가치지향성_경력 선택에 있어 타인의 평가 미고려 정도,Q9_3,
52,Q9_4,개인특성(경력에 대한 인식 및 태도)_프로티언 경력 태도_가치지향성_남의 선호하는 경력보다 내가 계획한 경력의 중요성,Q9_4,
53,Q9_5,개인특성(경력에 대한 인식 및 태도)_무경계 경력 태도_무경계 사고방식_타 조직과의 업무 기회 선호도,Q9_5,
54,Q9_6,개인특성(경력에 대한 인식 및 태도)_무경계 경력 태도_무경계 사고방식_타 부서와의 업무 기회 선호도,Q9_6,
55,Q9_7,개인특성(경력에 대한 인식 및 태도)_무경계 경력 태도_무경계 사고방식_새로운 경험에서의 활력 성취도,Q9_7,
56,Q9_8,개인특성(경력에 대한 인식 및 태도)_무경계 경력 태도_조직이동선호_이직에 대한 긍정적 인식,Q9_8,
57,Q9_9,개인특성(경력에 대한 인식 및 태도)_무경계 경력 태도_조직이동선호_경력발전을 위한 이직 선택,Q9_9,
58,Q9_10,개인특성(경력에 대한 인식 및 태도)_무경계 경력 태도_조직이동선호_경력개발을 위한 타 조직 이동성,Q9_10,
59,Q10_1,개인특성(학습민첩성)_호기심 및 탐구력,Q10_1,
60,Q10_2,개인특성(학습민첩성)_타인의 피드백 수용력,Q10_2,
61,Q10_3,개인특성(학습민첩성)_상황 수용 및 적응력,Q10_3,
62,Q10_4,개인특성(학습민첩성)_스스로 성장과 발전 추구,Q10_4,
63,Q10_5,개인특성(학습민첩성)_변화 및 새로운 아이디어 수용력,Q10_5,
64,Q11_1,개인특성(조직 문화)_관계지향_조직 내 가족 분위기 형성 정도,Q11_1,
65,Q11_2,개인특성(조직 문화)_관계지향_조직 내 단결 및 일체감 형성 정도,Q11_2,
66,Q11_3,개인특성(조직 문화)_관계지향_조직 내 팀워크 중시 정도,Q11_3,
67,Q11_4,개인특성(조직 문화)_혁신지향_조직 내 새로운 변화 및 시도 장려 정도,Q11_4,
68,Q11_5,개인특성(조직 문화)_혁신지향_조직 내 혁신에 대한 보상 정도,Q11_5,
69,Q11_6,개인특성(조직 문화)_혁신지향_조직 내 창의성에 대한 인정 정도,Q11_6,
70,Q11_7,개인특성(조직 문화)_위계지향_조직 내 절차 및 규칙 중시 정도,Q11_7,
71,Q11_8,개인특성(조직 문화)_위계지향_하향식 의사 전달 및 정보 흐름,Q11_8,
72,Q11_9,개인특성(조직 문화)_위계지향_조직 내 직급 강조 분위기 형성 정도,Q11_9,
73,Q11_10,개인특성(조직 문화)_과업지향_조직 내 경쟁 및 성과 달성 분위기 강조 정도,Q11_10,
74,Q11_11,개인특성(조직 문화)_과업지향_조직 내 과업수행 능력 중시 정도,Q11_11,
75,Q11_12,개인특성(조직 문화)_과업지향_조직 내 능력 및 실적 중심 평가 정도,Q11_12,
76,Q12_1,개인특성(심리적 안전감)_구성원 실수 책임 공유,Q12_1,구성원 실수 책임 공유
77,Q12_2,개인특성(심리적 안전감)_구성원 다양성 존중,Q12_2,구성원 다양성 존중
78,Q12_3,개인특성(심리적 안전감)_구성원 간 도움 요청의 자유로움,Q12_3,구성원 간 도움 요청의 자유로움
79,Q12_4,개인특성(심리적 안전감)_나의 노력에 대한 존중,Q12_4,나의 노력에 대한 존중
80,Q13_1,개인특성(직속상사의 변혁적 리더십)_이상적 영향력_상사에 대한 존경심 보유 정도,Q13_1,
81,Q13_2,개인특성(직속상사의 변혁적 리더십)_이상적 영향력_상사의 강한 목적의식 보유 중요성 강조 정도,Q13_2,
82,Q13_3,개인특성(직속상사의 변혁적 리더십)_이상적 영향력_상사의 도덕적 의사결정 고려 정도,Q13_3,
83,Q13_4,개인특성(직속상사의 변혁적 리더십)_동기부여_상사의 미래에 대한 긍정적 인식 정도,Q13_4,
84,Q13_5,개인특성(직속상사의 변혁적 리더십)_동기부여_상사의 달성 업무에 대한 열정 보유 정도,Q13_5,
85,Q13_6,개인특성(직속상사의 변혁적 리더십)_동기부여_상사의 미래에 대한 비전 제시 정도,Q13_6,
86,Q13_7,개인특성(직속상사의 변혁적 리더십)_지적 자극_상사의 다양한 문제 해결 관점 제시 정도,Q13_7,
87,Q13_8,개인특성(직속상사의 변혁적 리더십)_지적 자극_상사의 다양한 문제 해결 관점 유도 정도,Q13_8,
88,Q13_9,개인특성(직속상사의 변혁적 리더십)_지적 자극_상사의 새로운 방법 제시 정도,Q13_9,
89,Q13_10,개인특성(직속상사의 변혁적 리더십)_개별적 고려_상사의 구성원 교육 및 지도 시간 할애 정도,Q13_10,
90,Q13_11,개인특성(직속상사의 변혁적 리더십)_개별적 고려_개인에 대한 인격체로서의 대우 정도,Q13_11,
91,Q13_12,개인특성(직속상사의 변혁적 리더십)_개별적 고려_상사의 개인의 강점 개발 도움 정도,Q13_12,
92,Q14_1,개인특성(환경 적합성)_직무_보유기술과의 적합성,Q14_1,
93,Q14_2,개인특성(환경 적합성)_직무_적성과의 적합성,Q14_2,
94,Q14_3,개인특성(환경 적합성)_직무_목표와의 일치성,Q14_3,
95,Q14_4,개인특성(환경 적합성)_조직_기관 문화 적합성,Q14_4,
96,Q14_5,개인특성(환경 적합성)_조직_적성 적합성,Q14_5,
97,Q14_6,개인특성(환경 적합성)_조직_능력 발휘성,Q14_6,
98,Q14_7,개인특성(환경 적합성)_상사_부서 운영방식과 개인간의 적합성,Q14_7,
99,Q14_8,개인특성(환경 적합성)_상사_개인의 업무 처리 방식 유사성,Q14_8,
100,Q14_9,개인특성(환경 적합성)_상사_개인의 목표 추구 방식 유사성,Q14_9,
101,Q15_1_1,개인특성(연구책임자로서 인식)_구성원 프로젝트 수행 현황 파악,Q15_1_1,
102,Q15_1_2,개인특성(연구책임자로서 인식)_실험 및 진로 관련 논의,Q15_1_2,
103,Q15_1_3,개인특성(연구책임자로서 인식)_실험 디자인 확인,Q15_1_3,
104,Q15_1_4,개인특성(연구책임자로서 인식)_원시데이터 확인,Q15_1_4,
105,Q15_2_1,개인특성(연구참여자로서 인식)_구성원 프로젝트 수행 현황 파악,Q15_2_1,
